Ingredient,Ccal,Fats,Proteins,Carbs
Арахис,552,"45,2","26,3","9,9"
Арахис жареный,626,52,26,"13,4"
Горох отварной,130,"0,8","10,5","20,4"
Горошек зеленый,55,"0,2",5,"8,3"
"Горошек зеленый, консервы",40,"0,2","3,1","6,5"
Горчица,474,"30,8","25,8","23,4"
Грецкий орех,656,"60,8","16,2","11,1"
Каштаны,213,2,2,46
Кедровые орехи,673,68,14,13
Кешью,600,"48,5","18,5","22,5"
Кунжут,565,"48,7","19,4","12,2"
Лещина,653,"62,6",13,"9,3"
Мак,556,"47,5","17,5","14,5"
Миндаль,609,"53,7","18,6",13
Миндаль жареный,642,"55,9","22,4","12,3"
Мука соевая полуобезжиренная,334,"9,5",43,"19,1"
Оливки (мякоть),296,"23,7","1,6",19
"Оливки, консервы",175,"16,3","1,8","5,2"
Подсолнечник,601,"52,9","20,7","10,5"
Рапс (низкоэруковый),544,"43,6","30,8","7,2"
Семечки подсолнечника,584,51,21,20
Сладкий попкорн,431,13,4,79
Соленый попкорн,527,30,9,56
"Соя, зерно",364,"17,3","34,9","17,3"
Суп с бобовыми (фасоль),54,"1,3",3,"6,9"
Тыквенные семечки,500,42,33,12
Фасоль (стручок),23,"0,3","2,5",3
"Фасоль, зерно",298,2,21,47
Фисташки,557,44,21,28
Фундук,651,"61,5",15,"9,4"
Фундук жареный,703,"66,1","17,8","9,4"
"Чечевица, зерно",295,"1,5",24,"46,3"
Майонез «Провансаль»,629,67,"2,8","3,7"
Майонез столовый молочный,627,67,"2,4","3,9"
Маргарин низкокалорийный 60% жирности,545,60,"0,5","0,7"
Маргарин «Здоровье»,743,82,"0,5","0,7"
Маргарин «Экстра»,744,82,"0,5",1
Маргарин молочный столовый,743,82,"0,3",1
Маргарин сливочный,743,82,"0,3",1
Масло сладко-сливочное «Бутербродное»,566,"61,5","1,3","1,7"
Масло сладко-сливочное «Вологодское»,748,"82,5","0,5","0,8"
Масло сладко-сливочное несоленое,748,"82,5","0,5","0,8"
Шпик свиной,841,"92,8","1,4",0
Шпик свиной соленый,816,90,"1,4",0
Баранки простые из муки 1 сорта,311,"1,3","10,4","64,2"
Батон нарезной из муки высшего сорта,262,"2,9","7,5","51,4"
Батон нарезной из муки 1 сорта,259,3,"7,7","50,1"
Батон простой из муки 1 сорта,238,1,8,"49,1"
Биточки перловые с творогом,166,"6,4","7,9","18,9"
Биточки пшенные,170,"5,9","6,9","22,2"
Блины из муки 1 сорта,189,"3,1","5,1","32,6"
Бублики простые из муки 1 сорта,276,"1,1","9,1","57,1"
Булка ярославская из муки 1 сорта,294,"5,3","7,6","53,7"
Булки городские из муки высшего сорта,265,"2,4","7,7","52,9"
Булочки молочные из муки высшего сорта,257,"2,2","8,8","50,3"
Булочки сдобные из муки высшего сорта,339,"9,4","7,9","55,5"
Вареники из муки 1 сорта,172,"6,4",12,"16,2"
Ватрушка из муки высшего сорта,256,"6,4","11,9","37,5"
Галеты из муки 1 сорта,345,"1,4",11,"69,5"
Галеты из муки высшего сорта,393,"10,2","9,7","65,6"
Галушки из муки 1 сорта,106,1,"3,9","20,3"
Жареный рис,151,"5,5","4,2",21
Запеканка рисовая,144,"5,6",4,"19,4"
Запеканка рисовая с творогом,189,"7,1","5,1","26,1"
Зерно мягкой пшеницы,305,"2,2","11,8","59,5"
"Зерно продовольственное, гречиха",296,"3,2","10,8",56
"Зерно продовольственное, кукуруза",325,"4,9","10,3",60
"Зерно продовольственное, овес",316,"6,2",10,"55,1"
"Зерно продовольственное, просо",298,"3,9","11,2","54,6"
"Зерно продовольственное, рис",303,"2,6","7,5","62,3"
"Зерно продовольственное, рожь",283,"2,2","9,9","55,8"
